,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
119,Cade Cunningham,DET,G,20,29,32.2,67.2,25.8,18.9,61,0.836,231,0.442,200,0.31,0.452,0.482,15.2,5.9,9.8,5.3,28.4,1.31,0.59,3.69,9.7,91.1,104.6
120,Seth Curry,PHI,G,31,35,34.8,72.5,19.1,12.4,71,0.873,230,0.6,190,0.411,0.607,0.634,16.3,3.3,5.2,3.9,17.6,0.74,0.14,1.83,6.8,118.2,109.1
121,Stephen Curry,GSW,G,33,35,34.7,72.3,32.7,13.0,168,0.917,255,0.478,464,0.388,0.545,0.591,26.8,5.3,8.4,6.1,29.6,1.43,0.54,3.4,11.0,112.3,100.7
122,Anthony Davis,LAL,F-C,28,27,35.4,73.7,27.5,9.8,161,0.727,426,0.566,56,0.179,0.531,0.569,23.3,9.9,14.6,2.9,13.7,1.19,2.04,2.22,9.9,112.6,104.3
123,Ed Davis,CLE,C-F,32,12,9.3,19.4,6.9,17.0,6,0.167,12,0.75,0,0.0,0.75,0.649,1.6,3.1,17.9,0.1,1.2,0.25,0.58,0.25,3.4,112.7,88.2
124,Terence Davis,SAC,G,24,22,17.4,36.2,25.6,11.3,26,0.808,87,0.529,105,0.305,0.49,0.514,9.5,3.1,9.4,1.0,9.5,0.77,0.41,1.18,7.1,96.7,101.3
125,Gabriel Deck,OKC,F,26,7,7.9,16.5,12.4,12.5,0,0.0,10,0.6,4,0.5,0.643,0.643,2.6,0.9,5.5,0.7,14.5,0.14,0.0,0.29,6.0,120.6,111.6
126,Dewayne Dedmon,MIA,C,32,33,17.2,35.8,15.3,15.8,44,0.75,126,0.571,20,0.6,0.616,0.644,6.5,6.1,19.7,0.9,7.6,0.39,0.45,0.94,7.7,123.4,94.1
127,Sam Dekker,TOR,F,27,1,0.9,1.9,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Javin DeLaurier,MIL,C,20,1,2.8,5.8,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,18.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,DeMar DeRozan,CHI,G-F,32,33,35.1,73.2,31.3,8.6,260,0.858,572,0.505,70,0.357,0.509,0.579,26.5,5.0,7.9,4.6,22.3,0.88,0.33,2.15,9.7,116.6,106.5
130,Cheick Diallo,DET,F-C,25,3,10.2,21.3,16.3,8.6,6,0.833,8,0.375,0,0.0,0.375,0.517,3.7,4.0,21.1,0.0,0.0,0.33,0.0,0.33,0.0,114.6,90.3
131,Hamidou Diallo,DET,G,23,31,22.0,45.7,20.9,10.5,67,0.612,220,0.577,48,0.25,0.541,0.556,10.7,4.3,10.6,1.3,10.7,1.23,0.42,1.13,7.1,106.4,101.6
132,Gorgui Dieng,ATL,C,31,28,9.8,20.4,16.0,15.8,21,0.762,36,0.528,40,0.4,0.566,0.598,3.6,3.3,18.3,0.9,13.0,0.29,0.36,0.57,9.0,120.7,99.7
133,Spencer Dinwiddie,WAS,G,28,30,30.1,62.8,21.6,11.8,100,0.78,190,0.442,153,0.333,0.468,0.516,13.3,5.0,9.0,5.5,26.9,0.5,0.17,1.73,9.5,108.7,107.8
134,Donte DiVincenzo,MIL,G,24,3,16.7,34.8,22.1,15.5,11,0.909,7,0.0,10,0.4,0.353,0.504,7.3,5.7,17.8,0.7,5.2,0.33,0.0,1.33,7.4,107.3,107.0
135,Luka Doncic,DAL,F-G,22,24,34.8,72.4,35.9,16.7,136,0.713,302,0.523,195,0.318,0.505,0.538,25.0,8.0,12.6,8.8,46.4,1.21,0.46,4.67,13.9,103.1,100.6
136,Luguentz Dort,OKC,G,22,34,32.5,67.6,22.7,9.6,111,0.838,217,0.498,259,0.317,0.485,0.529,16.3,4.1,6.3,1.7,8.9,0.94,0.38,1.65,6.0,102.1,104.6
137,Ayo Dosunmu,CHI,G,21,32,19.0,39.6,14.3,15.7,31,0.581,103,0.592,50,0.44,0.614,0.618,6.4,2.2,6.4,1.3,9.1,0.47,0.34,0.97,5.5,110.6,105.0
138,Damyean Dotson,NYK,G,27,2,10.3,21.5,8.6,0.0,0,0.0,3,0.667,1,0.0,0.5,0.5,2.0,1.0,5.2,0.5,7.2,0.0,0.0,0.0,3.9,112.6,117.3
139,Devon Dotson,CHI,G,22,7,9.3,19.4,13.8,9.7,8,0.625,9,0.667,6,0.333,0.6,0.621,3.3,0.9,5.1,1.1,16.7,0.14,0.0,0.29,6.4,127.1,100.5
140,Sekou Doumbouya,LAL,F,21,2,8.2,17.1,30.7,17.0,4,0.75,6,0.667,2,0.5,0.688,0.717,7.0,3.0,19.1,0.0,0.0,1.5,1.0,1.0,0.0,117.5,94.7
141,Jeff Dowtin,GSW,G,24,4,6.9,14.4,11.0,14.3,0,0.0,5,0.6,1,0.0,0.5,0.5,1.5,1.8,13.9,0.8,14.8,0.0,0.25,0.25,7.5,108.5,99.6
142,P.J. Dozier,DEN,G-F,25,18,18.9,39.4,15.4,11.0,13,0.769,51,0.412,48,0.313,0.439,0.463,5.4,3.5,10.3,1.6,11.7,0.61,0.33,0.72,6.6,99.2,102.5
143,Goran Dragic,TOR,G,35,5,18.0,37.4,18.7,2.5,10,1.0,20,0.45,14,0.286,0.441,0.521,8.0,2.8,8.4,1.8,14.4,1.0,0.2,0.2,7.6,121.8,103.6
144,Andre Drummond,PHI,C,28,33,19.2,40.1,17.8,21.9,63,0.571,167,0.521,1,0.0,0.518,0.536,6.4,9.2,26.2,2.0,15.1,1.15,1.03,1.67,10.2,111.5,92.3
145,Chris Duarte,IND,G,24,34,28.6,59.7,21.3,12.0,58,0.707,218,0.5,176,0.352,0.513,0.53,13.1,4.0,7.7,2.1,11.1,1.0,0.15,1.68,6.7,101.1,108.7
146,David Duke Jr.,BKN,G,22,8,23.0,47.9,16.2,7.3,15,0.8,39,0.436,18,0.111,0.351,0.409,6.5,5.3,12.1,1.0,5.8,0.88,0.38,0.63,5.7,100.6,101.0
147,Kevin Durant,BKN,F,33,32,37.1,77.2,31.9,11.6,228,0.886,509,0.566,162,0.37,0.563,0.621,29.9,7.8,11.1,5.8,28.0,0.69,0.91,3.16,11.9,118.0,106.2
148,Jaime Echenique,WAS,C,24,1,3.1,6.5,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Anthony Edwards,MIN,G,20,33,35.4,73.9,27.6,13.9,114,0.781,326,0.506,287,0.369,0.529,0.556,22.3,5.6,8.3,3.6,17.3,1.58,0.7,3.24,8.7,104.3,106.1
150,Kessler Edwards,BKN,F,21,6,22.4,46.6,15.5,12.5,0,0.0,23,0.478,19,0.368,0.512,0.512,7.2,4.8,11.4,1.5,9.4,0.5,0.67,1.0,6.7,105.5,108.2
151,Rob Edwards,OKC,G,24,2,5.5,11.4,19.8,20.0,0,0.0,0,0.0,4,0.25,0.375,0.375,1.5,1.5,13.9,0.0,0.0,0.0,0.0,0.5,0.0,59.6,111.3
152,CJ Elleby,POR,F-G,21,19,7.9,16.5,16.1,12.6,8,0.875,22,0.545,23,0.348,0.533,0.567,2.9,1.7,12.1,0.4,6.9,0.21,0.0,0.37,6.3,111.4,103.5
153,Wayne Ellington,LAL,G,34,27,21.1,43.9,12.4,7.9,5,0.8,12,0.5,138,0.377,0.56,0.565,6.4,1.7,4.3,0.8,5.1,0.52,0.07,0.48,3.9,108.3,110.9
154,Joel Embiid,PHI,C-F,27,27,33.2,69.2,34.6,11.2,282,0.805,396,0.495,90,0.389,0.511,0.593,26.8,10.7,17.8,4.3,23.3,1.11,1.41,2.85,12.9,116.4,101.3
155,James Ennis III,BKN,F,31,2,6.9,14.3,22.2,0.0,0,0.0,5,0.2,2,0.5,0.357,0.357,2.5,2.5,19.3,0.0,0.0,0.5,0.5,0.0,0.0,91.6,107.6
156,James Ennis III,LAC,F,31,2,14.1,29.3,21.4,7.3,4,1.0,7,0.714,4,0.5,0.727,0.784,10.0,2.5,9.3,0.0,0.0,0.5,0.5,0.5,0.0,144.7,96.4
157,Drew Eubanks,SAS,F-C,24,36,12.5,26.0,17.7,20.7,64,0.75,115,0.53,6,0.167,0.517,0.58,4.8,4.1,16.8,1.1,11.7,0.31,0.69,1.08,8.9,108.3,99.5
158,Tacko Fall,CLE,C,26,11,5.3,11.1,13.4,16.6,7,0.286,12,0.417,0,0.0,0.417,0.398,1.1,2.1,21.1,0.2,4.6,0.0,0.55,0.27,5.8,91.7,101.3
159,Derrick Favors,OKC,F,30,28,16.1,33.6,14.3,4.0,18,0.556,126,0.532,10,0.2,0.515,0.521,5.4,4.7,14.8,0.8,7.6,0.43,0.29,0.21,6.8,115.9,101.1
160,Bruno Fernando,BOS,F-C,23,12,2.7,5.6,12.2,44.4,0,0.0,5,0.6,0,0.0,0.6,0.6,0.5,0.5,9.9,0.1,4.4,0.0,0.17,0.33,4.3,0.0,0.0
161,Dorian Finney-Smith,DAL,F,28,38,32.2,67.0,14.0,9.4,47,0.66,131,0.557,194,0.381,0.566,0.577,10.5,4.8,8.2,2.0,8.9,1.24,0.55,0.95,5.8,116.6,103.1
162,Malik Fitts,UTA,F,20,7,5.0,10.4,13.6,18.2,0,0.0,5,0.0,4,0.5,0.333,0.333,0.9,1.4,15.5,0.0,0.0,0.0,0.0,0.29,0.0,56.6,100.5
163,Malachi Flynn,TOR,G,23,26,8.8,18.4,18.0,8.2,7,0.571,42,0.429,44,0.273,0.419,0.427,2.9,1.1,6.6,1.0,15.4,0.38,0.12,0.31,6.7,97.8,104.4
164,Bryn Forbes,SAS,G,28,36,16.2,33.8,21.9,10.3,44,0.886,126,0.468,126,0.389,0.526,0.56,8.4,1.6,5.0,0.9,8.2,0.36,0.08,0.86,5.7,104.1,110.7
165,Aleem Ford,ORL,F,20,5,14.7,30.6,14.1,16.7,0,0.0,5,0.8,15,0.133,0.35,0.35,2.8,3.0,10.9,0.4,3.9,0.2,0.0,0.8,4.1,67.6,107.5
166,Trent Forrest,UTA,G,23,30,9.1,19.0,10.6,35.7,14,0.786,33,0.515,4,0.25,0.5,0.556,1.6,1.4,8.1,1.1,14.7,0.17,0.0,0.8,5.9,97.0,107.7
167,Evan Fournier,NYK,G-F,29,38,29.0,60.4,21.1,9.5,53,0.736,187,0.46,265,0.381,0.525,0.541,13.5,2.8,5.1,1.8,10.0,0.89,0.24,1.32,5.6,104.9,108.3
168,De'Aaron Fox,SAC,G,24,37,34.2,71.3,28.3,12.3,222,0.757,498,0.51,141,0.248,0.48,0.53,21.1,3.6,5.6,5.2,25.0,1.27,0.43,2.78,8.6,105.1,109.3
169,Tim Frazier,ORL,G,31,9,20.5,42.6,13.2,23.2,9,0.556,23,0.304,16,0.375,0.41,0.431,4.1,1.9,4.9,3.4,24.0,0.33,0.0,1.44,5.8,91.7,105.6
170,Enes Freedom,BOS,C,29,23,13.0,27.1,15.2,14.5,20,0.8,76,0.539,4,0.25,0.531,0.569,4.4,5.5,22.8,0.2,2.0,0.22,0.43,0.65,5.2,119.0,99.0
171,Wenyen Gabriel,BKN,F,24,1,1.3,2.7,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Wenyen Gabriel,LAC,F,24,4,9.9,20.5,16.4,6.8,4,0.5,8,0.375,4,0.25,0.375,0.4,2.8,2.8,14.6,0.5,7.2,0.25,0.5,0.25,6.4,97.2,88.0
173,Daniel Gafford,WAS,F-C,23,36,22.8,47.5,15.5,13.3,71,0.732,217,0.687,0,0.0,0.687,0.705,9.7,6.8,16.3,1.1,7.3,0.44,1.78,1.06,7.3,134.3,102.3
174,Danilo Gallinari,ATL,F,33,29,22.4,46.6,17.8,6.0,61,0.934,107,0.421,115,0.4,0.514,0.573,9.8,4.2,10.2,1.4,8.9,0.48,0.21,0.55,6.9,119.8,110.5
175,Langston Galloway,BKN,G,30,4,14.6,30.3,13.4,27.8,0,0.0,5,0.6,8,0.25,0.462,0.462,3.0,2.0,7.3,1.3,11.2,0.0,0.0,1.25,5.4,79.2,105.7
176,Darius Garland,CLE,G,21,33,34.4,71.6,26.0,17.8,81,0.914,290,0.545,229,0.389,0.562,0.592,19.9,3.0,4.7,7.3,34.9,1.3,0.09,3.64,8.8,110.4,105.7
177,Marcus Garrett,MIA,G,23,12,10.7,22.3,8.7,7.9,5,0.4,17,0.235,4,0.25,0.262,0.28,1.1,1.9,10.0,0.6,7.0,0.42,0.25,0.17,4.0,89.3,97.3
178,Usman Garuba,HOU,F,19,14,7.2,14.9,11.4,11.2,2,0.5,11,0.545,12,0.167,0.391,0.398,1.4,2.2,16.9,0.6,11.1,0.43,0.36,0.21,6.8,98.3,104.5
179,Luka Garza,DET,C,23,25,12.4,25.8,19.3,10.7,38,0.658,70,0.5,38,0.316,0.491,0.525,5.2,3.1,13.5,0.6,8.0,0.32,0.08,0.6,6.9,111.5,100.6
180,Rudy Gay,UTA,F-G,35,25,19.9,41.5,19.1,8.6,41,0.805,78,0.5,106,0.377,0.538,0.572,9.2,4.6,12.6,1.1,7.7,0.52,0.28,0.76,7.2,116.9,100.7
181,Paul George,LAC,F,31,26,35.5,74.0,34.0,15.1,117,0.88,340,0.482,217,0.323,0.483,0.527,24.7,7.1,10.5,5.5,27.7,2.04,0.38,4.15,11.1,97.8,100.4
182,Taj Gibson,NYK,F,36,24,19.3,40.2,9.0,18.0,19,0.737,55,0.545,14,0.286,0.522,0.556,3.6,4.5,12.7,0.8,6.2,0.46,0.92,0.71,4.9,116.4,99.0
183,Josh Giddey,OKC,G,19,33,30.3,63.2,21.5,19.3,47,0.681,260,0.458,121,0.264,0.438,0.456,11.1,7.5,12.5,6.3,33.9,1.03,0.52,2.91,10.6,94.8,104.9
184,Shai Gilgeous-Alexander,OKC,G-F,23,33,35.0,73.0,29.1,10.3,218,0.821,400,0.483,203,0.281,0.462,0.527,22.3,4.6,6.7,5.2,27.0,0.97,0.73,2.42,9.3,106.6,106.9
185,Anthony Gill,WAS,F,29,16,6.7,14.0,15.0,11.0,12,0.833,20,0.65,7,0.714,0.759,0.79,3.2,1.6,12.7,0.5,11.2,0.06,0.13,0.25,8.2,149.7,97.5
186,Freddie Gillespie,ORL,F,20,8,13.1,27.2,10.4,19.9,7,0.429,16,0.438,1,0.0,0.412,0.423,2.1,4.1,16.8,0.5,5.4,0.38,1.0,0.63,5.0,98.1,96.8
187,Rudy Gobert,UTA,C,29,37,32.1,66.8,16.8,14.5,249,0.683,285,0.709,1,0.0,0.706,0.726,15.5,15.1,25.3,1.1,4.8,0.78,2.27,1.81,7.9,137.1,97.0
188,Brandon Goodwin,CLE,G,26,3,22.7,47.2,22.2,14.5,8,0.25,19,0.526,7,0.0,0.385,0.373,7.3,3.7,8.7,4.7,30.2,0.67,0.0,1.67,8.9,86.6,98.3
189,Jordan Goodwin,WAS,G,23,2,3.0,6.1,22.6,0.0,0,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.5,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Aaron Gordon,DEN,F,26,34,32.0,66.6,18.5,12.0,104,0.712,251,0.61,101,0.327,0.575,0.602,14.1,5.4,9.4,2.2,10.3,0.65,0.65,1.59,6.9,115.5,108.4
191,Eric Gordon,HOU,G,33,34,29.2,60.8,20.1,16.4,93,0.731,177,0.531,174,0.448,0.601,0.625,14.4,1.7,3.2,3.4,18.5,0.62,0.44,2.26,6.0,111.4,118.2
192,Devonte' Graham,NOP,G,26,36,31.3,65.2,20.5,10.5,76,0.816,145,0.4,306,0.359,0.494,0.524,14.1,2.5,4.3,4.5,22.3,1.06,0.19,1.58,6.9,108.8,112.7
193,Jerami Grant,DET,F,27,24,33.2,69.2,26.7,10.3,146,0.849,255,0.455,127,0.331,0.469,0.54,20.1,4.8,7.8,2.6,14.0,1.13,1.13,2.13,7.6,105.7,108.3
194,Hassani Gravett,ORL,G,25,8,21.4,44.6,12.3,18.5,4,0.75,12,0.583,26,0.423,0.618,0.629,6.3,2.6,6.6,2.5,17.5,0.63,0.13,1.13,6.4,113.4,108.9
195,Danny Green,PHI,G,34,27,24.4,50.9,12.4,13.8,8,1.0,21,0.571,131,0.382,0.572,0.585,6.7,2.6,5.8,1.2,6.7,1.3,0.85,0.93,4.5,107.5,106.0
196,Draymond Green,GSW,F,31,33,30.8,64.3,14.4,31.5,67,0.597,159,0.604,42,0.286,0.567,0.581,8.1,7.8,13.8,7.6,33.5,1.42,1.24,3.21,10.2,109.9,94.4
197,Javonte Green,CHI,G-F,28,29,22.2,46.2,10.9,10.7,40,0.8,92,0.543,33,0.364,0.544,0.589,5.8,4.2,10.5,1.0,5.7,0.83,0.45,0.59,5.2,124.7,102.4
198,Jalen Green,HOU,G,19,25,30.4,63.3,23.6,14.5,95,0.821,157,0.478,162,0.327,0.484,0.536,15.5,3.0,5.4,2.1,11.1,0.64,0.2,2.44,6.1,98.2,115.5
199,JaMychal Green,DEN,F-C,31,33,14.8,30.8,19.2,14.3,42,0.857,87,0.586,75,0.253,0.491,0.54,5.9,3.7,13.9,0.8,8.0,0.7,0.45,0.91,7.0,104.0,94.5
200,Jeff Green,DEN,F,35,34,24.9,51.8,16.4,11.3,85,0.812,157,0.592,81,0.333,0.561,0.61,9.9,3.1,6.9,1.2,6.8,0.26,0.53,1.03,5.3,113.6,105.4
201,Josh Green,DAL,G,21,24,11.3,23.4,13.6,12.2,16,0.75,51,0.608,14,0.286,0.569,0.597,3.6,1.8,8.9,1.1,14.2,0.5,0.21,0.42,6.8,121.7,97.4
202,Blake Griffin,BKN,F,32,28,19.6,40.9,16.0,6.4,41,0.707,90,0.5,82,0.22,0.419,0.455,6.2,4.7,12.6,2.0,13.6,0.57,0.39,0.46,7.9,107.4,99.4
203,Quentin Grimes,NYK,G,21,22,12.9,26.8,16.5,11.4,8,0.625,15,0.333,75,0.387,0.539,0.545,4.6,1.4,5.9,0.7,8.1,0.5,0.14,0.55,5.1,103.8,104.6
204,Kyle Guy,MIA,G,24,5,20.3,42.2,18.4,11.8,5,0.8,15,0.6,20,0.45,0.643,0.659,9.8,1.6,4.4,2.6,20.1,0.8,0.2,1.0,6.8,125.2,102.8
205,Tyrese Haliburton,SAC,G,21,39,33.9,70.6,17.5,15.7,60,0.817,248,0.48,182,0.445,0.559,0.581,13.6,4.0,6.2,6.8,29.3,1.64,0.72,2.18,8.5,116.5,113.1
206,Tyler Hall,NYK,G,24,1,1.9,4.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,R.J. Hampton,ORL,G,20,36,19.6,40.8,20.1,15.3,73,0.603,148,0.399,97,0.371,0.461,0.487,7.5,2.8,7.7,2.5,19.8,0.56,0.19,1.39,7.6,95.5,108.9
208,Tim Hardaway Jr.,DAL,G-F,29,33,30.7,64.0,21.8,4.7,81,0.741,188,0.468,247,0.336,0.489,0.515,14.7,3.9,7.0,2.5,12.5,0.94,0.18,0.7,6.8,107.0,105.2
209,James Harden,BKN,G,32,33,36.6,76.3,28.3,20.0,268,0.869,277,0.487,237,0.329,0.49,0.583,22.3,8.1,11.7,9.7,39.1,1.33,0.67,4.79,13.2,111.2,103.2
210,Maurice Harkless,SAC,F-G,28,28,18.8,39.1,10.0,14.5,13,0.692,42,0.667,58,0.276,0.52,0.534,4.0,2.3,6.6,0.5,3.8,0.43,0.54,0.64,3.5,96.8,109.4
211,Jared Harper,NOP,G,24,2,5.3,10.9,32.5,12.5,0,0.0,5,0.4,2,0.5,0.5,0.5,3.5,0.5,5.1,1.5,55.7,0.0,0.5,0.5,10.4,109.1,100.4
212,Montrezl Harrell,WAS,F-C,27,33,25.4,52.9,20.4,9.9,155,0.742,269,0.658,10,0.3,0.651,0.688,14.5,7.3,15.7,2.2,14.2,0.52,0.61,1.15,9.7,136.0,105.8
213,Gary Harris,ORL,G,27,33,29.2,60.9,17.2,11.5,57,0.842,163,0.528,150,0.367,0.538,0.569,11.7,2.4,4.4,1.9,10.4,0.88,0.18,1.33,5.2,108.6,111.2
214,Joe Harris,BKN,G-F,30,14,30.2,62.9,14.6,11.2,6,0.833,36,0.417,88,0.466,0.617,0.624,11.3,4.0,7.0,1.0,4.6,0.5,0.14,1.14,4.7,110.1,106.1
215,Shaquille Harrison,BKN,G,28,2,11.3,23.5,15.4,25.0,0,0.0,4,0.5,2,0.0,0.333,0.333,2.0,2.0,9.4,1.5,17.4,0.5,0.5,1.0,6.4,74.8,97.5
216,Tobias Harris,PHI,F,29,29,35.0,72.9,24.1,8.7,118,0.856,335,0.51,107,0.299,0.495,0.546,18.6,7.7,12.0,3.9,18.1,0.52,0.59,1.62,9.4,111.5,107.1
217,Isaiah Hartenstein,LAC,C-F,23,29,16.4,34.2,17.7,15.1,49,0.653,139,0.662,3,0.667,0.669,0.679,7.7,4.7,14.9,1.9,18.6,0.83,1.28,1.0,10.0,131.2,91.9
218,Josh Hart,NOP,G,26,31,32.8,68.3,16.3,15.7,104,0.76,190,0.6,91,0.341,0.571,0.612,12.9,7.4,12.1,4.4,20.5,0.9,0.35,1.97,9.1,118.6,105.3
219,Udonis Haslem,MIA,F,41,8,6.5,13.5,19.9,8.6,3,1.0,18,0.5,2,0.5,0.525,0.563,3.0,2.1,18.3,0.3,6.2,0.13,0.13,0.25,7.6,114.2,83.9
220,Sam Hauser,BOS,F,24,7,4.5,9.4,15.3,0.0,0,0.0,0,0.0,11,0.273,0.409,0.409,1.3,0.6,6.8,0.1,4.5,0.14,0.14,0.0,3.8,95.3,110.0
221,Jaxson Hayes,NOP,C-F,21,27,13.3,27.6,19.1,11.2,57,0.789,103,0.583,14,0.286,0.564,0.623,6.6,3.6,14.7,0.4,4.5,0.3,0.63,0.67,6.4,121.6,99.9
222,Killian Hayes,DET,G,20,28,25.9,53.9,14.2,18.7,29,0.862,101,0.376,82,0.305,0.413,0.45,6.3,3.0,6.3,3.6,21.1,1.14,0.43,1.61,6.3,92.9,105.0
223,Gordon Hayward,CHA,F,31,39,33.1,69.0,21.1,10.4,142,0.859,336,0.503,179,0.38,0.526,0.575,17.0,4.8,7.7,3.7,15.9,0.87,0.51,1.72,8.1,114.0,114.0
224,Aaron Henry,PHI,F,22,5,2.8,5.9,19.2,33.3,0,0.0,3,0.333,1,0.0,0.25,0.25,0.4,0.2,3.9,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0
225,Juancho Hernangomez,BOS,F,26,18,5.3,11.1,16.9,16.2,9,0.667,9,0.222,18,0.167,0.241,0.307,1.1,1.4,14.0,0.2,4.2,0.22,0.11,0.33,5.1,73.7,102.5
226,Willy Hernangomez,NOP,C-F,27,22,15.5,32.4,20.9,11.9,51,0.706,122,0.557,3,0.667,0.568,0.604,8.1,7.0,24.3,1.3,13.8,0.36,0.23,0.91,10.8,123.7,99.9
227,Tyler Herro,MIA,G,21,34,32.8,68.4,29.9,13.0,99,0.869,376,0.452,237,0.388,0.502,0.535,20.6,4.9,8.4,3.9,20.5,0.59,0.15,2.88,8.9,102.4,107.7
228,Buddy Hield,SAC,G,29,41,29.3,61.0,22.8,10.1,77,0.87,153,0.412,389,0.378,0.523,0.55,15.5,3.8,6.9,2.0,10.5,0.85,0.32,1.59,6.7,106.0,110.9
229,Haywood Highsmith,MIA,F,25,4,10.4,21.7,8.5,0.0,0,0.0,1,0.0,7,0.571,0.75,0.75,3.0,1.3,6.7,0.0,0.0,0.0,0.25,0.0,0.0,152.9,107.3
230,George Hill,MIL,G,35,33,25.6,53.3,12.1,13.0,38,0.947,100,0.57,91,0.308,0.518,0.563,7.1,3.2,6.5,2.4,12.6,0.79,0.15,0.94,5.9,116.5,107.6
231,Malcolm Hill,ATL,F,26,3,15.3,31.9,9.3,0.0,4,1.0,3,0.667,5,0.6,0.813,0.871,5.7,2.0,7.1,0.3,2.9,1.33,0.33,0.0,3.9,183.5,98.2
232,Solomon Hill,ATL,F,30,13,10.7,22.3,6.6,4.8,0,0.0,7,0.143,13,0.154,0.2,0.2,0.6,1.8,8.9,0.9,10.4,0.31,0.15,0.08,3.7,86.7,105.2
233,Nate Hinton,IND,G-F,22,2,1.2,2.5,36.3,50.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
234,Jaylen Hoard,OKC,F,22,1,1.8,3.8,24.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,2.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Aaron Holiday,WAS,G,25,33,16.7,34.8,17.7,14.1,24,0.792,126,0.516,52,0.365,0.525,0.546,6.2,1.6,5.1,1.9,16.9,0.58,0.24,0.94,6.4,103.6,106.4
236,Jrue Holiday,MIL,G,31,33,33.1,69.0,24.1,14.8,79,0.709,334,0.554,157,0.382,0.56,0.576,18.4,4.6,7.3,6.7,32.6,1.61,0.61,2.76,10.0,113.8,106.0
237,Justin Holiday,IND,F-G,32,34,28.3,58.9,15.8,9.2,25,0.8,75,0.507,231,0.359,0.531,0.544,10.1,2.8,5.5,1.5,7.7,0.59,0.26,0.94,4.9,105.5,108.7
238,Richaun Holmes,SAC,F,28,27,26.1,54.5,16.6,14.2,62,0.806,204,0.696,4,0.5,0.697,0.723,12.6,8.7,17.7,1.3,7.9,0.3,1.04,1.44,8.0,132.8,102.6
239,Rodney Hood,MIL,G-F,29,31,16.2,33.7,10.7,5.6,14,0.929,42,0.429,70,0.3,0.442,0.474,3.6,1.9,6.3,0.8,6.5,0.35,0.06,0.23,4.4,106.0,108.7
